id_transacao,data_transacao,cpf_aluno,plano_adquirido,cep_cobranca,valor_brl,mes_referencia,tickets_suporte,nps_score,horas_assistidas,venda_em_feriado,cidade,uf,bairro
TX-50043,2024-06-24,***.184.723-**,B�sico,90010150.0,"49,90",2024-06,,,,False,Porto Alegre,RS,Centro Histórico
TX-50044,2024-07-04,***.012.495-**,B�sico,30140071.0,"49,90",2024-07,2.0,6.0,108.4,False,Belo Horizonte,MG,Boa Viagem
TX-50045,2024-03-23,***.682.938-**,B�sico,80010010.0,"49,90",2024-03,3.0,,62.5,False,Curitiba,PR,Centro
TX-50046,2024-07-04,***.292.407-**,B�sico,69010000.0,"49,90",2024-07,,,,False,Manaus,AM,Centro
TX-50047,2024-12-24,***.247.073-**,Premium,90010150.0,"99,90",2024-12,,,,False,Porto Alegre,RS,Centro Histórico
TX-50048,2024-11-09,***.912.896-**,Premium,80010010.0,"99,90",2024-11,,,,False,Curitiba,PR,Centro
TX-50049,2024-06-18,***.163.009-**,B�sico,30140071.0,"49,90",2024-06,3.0,,,False,Belo Horizonte,MG,Boa Viagem
TX-50050,2024-06-22,***.016.668-**,B�sico,69010000.0,"49,90",2024-06,4.0,8.0,49.5,False,Manaus,AM,Centro
TX-50051,2024-03-22,***.278.532-**,Premium,30140071.0,"99,90",2024-03,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50052,2024-11-24,***.058.353-**,Premium,1001000.0,"99,90",2024-11,,,,False,,,
TX-50053,2024-04-28,***.811.729-**,Anual,1001000.0,"899,00",2024-04,,,,False,,,
TX-50054,2024-03-05,***.205.503-**,Premium,,"99,90",2024-03,5.0,5.0,28.2,False,,,
TX-50055,2024-08-17,***.156.793-**,B�sico,70040010.0,"49,90",2024-08,5.0,,,False,Brasília,DF,Asa Norte
TX-50056,2024-03-29,***.929.842-**,B�sico,1001000.0,"49,90",2024-03,,,,True,,,
TX-50057,2024-02-18,***.020.095-**,Anual,90010150.0,"899,00",2024-02,3.0,7.0,95.0,False,Porto Alegre,RS,Centro Histórico
TX-50058,2024-08-04,***.487.368-**,B�sico,60060440.0,"49,90",2024-08,,,,False,Fortaleza,CE,Praia de Iracema
TX-50059,2024-02-24,***.546.157-**,B�sico,80010010.0,"49,90",2024-02,0.0,8.0,3.2,False,Curitiba,PR,Centro
TX-50060,2024-10-24,***.071.152-**,B�sico,90010150.0,"49,90",2024-10,,,,False,Porto Alegre,RS,Centro Histórico
TX-50061,2024-01-07,***.975.923-**,B�sico,69010000.0,"49,90",2024-01,5.0,,24.2,False,Manaus,AM,Centro
TX-50062,2024-03-06,***.372.151-**,B�sico,30140071.0,"49,90",2024-03,1.0,6.0,45.8,False,Belo Horizonte,MG,Boa Viagem
TX-50063,2024-03-28,***.321.153-**,B�sico,50010000.0,"49,90",2024-03,5.0,9.0,72.3,False,Recife,PE,Santo Antônio
TX-50064,2024-10-20,***.882.426-**,Premium,20031050.0,"99,90",2024-10,,,,False,Rio de Janeiro,RJ,Centro
TX-50065,2024-11-03,***.855.829-**,B�sico,69010000.0,"49,90",2024-11,,,,False,Manaus,AM,Centro
TX-50066,2024-08-22,***.310.287-**,Premium,80010010.0,"99,90",2024-08,,,,False,Curitiba,PR,Centro
TX-50067,2024-05-05,***.903.267-**,B�sico,50010000.0,"49,90",2024-05,2.0,4.0,0.8,False,Recife,PE,Santo Antônio
TX-50068,2024-06-02,***.937.597-**,Anual,80010010.0,"899,00",2024-06,4.0,5.0,40.4,False,Curitiba,PR,Centro
TX-50069,2024-10-16,***.423.183-**,Premium,70040010.0,"99,90",2024-10,,,,False,Brasília,DF,Asa Norte
TX-50070,2024-12-28,***.990.453-**,Anual,30140071.0,"899,00",2024-12,4.0,,6.1,False,Belo Horizonte,MG,Boa Viagem
TX-50071,2024-11-22,***.203.471-**,Premium,4538133.0,"99,90",2024-11,,,,False,,,
TX-50072,2024-01-14,***.872.558-**,Premium,90010150.0,"99,90",2024-01,0.0,2.0,2.5,False,Porto Alegre,RS,Centro Histórico
TX-50073,2024-04-30,***.942.012-**,B�sico,1001000.0,"49,90",2024-04,5.0,1.0,133.5,False,,,
TX-50074,2024-08-09,***.772.051-**,Premium,69010000.0,"99,90",2024-08,,,,False,Manaus,AM,Centro
TX-50075,2024-09-18,***.316.715-**,Premium,69010000.0,"99,90",2024-09,2.0,,31.5,False,Manaus,AM,Centro
TX-50076,2024-07-09,***.523.668-**,B�sico,1001000.0,"49,90",2024-07,,,,False,,,
TX-50077,2024-07-10,***.102.451-**,,70040010.0,"49,90",2024-07,,,,False,Brasília,DF,Asa Norte
TX-50078,2024-11-21,***.051.834-**,B�sico,60060440.0,"49,90",2024-11,,,,False,Fortaleza,CE,Praia de Iracema
TX-50079,2024-01-09,***.505.830-**,Anual,30140071.0,"899,00",2024-01,0.0,7.0,88.3,False,Belo Horizonte,MG,Boa Viagem
TX-50080,2024-03-06,***.424.238-**,B�sico,1001000.0,"49,90",2024-03,0.0,9.0,138.2,False,,,
TX-50081,2024-11-21,***.484.601-**,Premium,80010010.0,"99,90",2024-11,,,,False,Curitiba,PR,Centro
TX-50082,2024-12-05,***.325.431-**,Premium,30140071.0,"99,90",2024-12,4.0,,29.2,False,Belo Horizonte,MG,Boa Viagem
TX-50083,2024-05-28,***.562.608-**,B�sico,70040010.0,"49,90",2024-05,4.0,6.0,81.2,False,Brasília,DF,Asa Norte
TX-50084,2024-09-19,***.668.516-**,Premium,70040010.0,"99,90",2024-09,1.0,6.0,78.3,False,Brasília,DF,Asa Norte
TX-50085,2024-11-12,***.523.120-**,B�sico,30140071.0,"49,90",2024-11,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50086,2024-09-23,***.104.331-**,B�sico,90010150.0,"49,90",2024-09,,,,False,Porto Alegre,RS,Centro Histórico
TX-50087,2024-10-18,***.315.391-**,B�sico,70040010.0,"49,90",2024-10,,,,False,Brasília,DF,Asa Norte
TX-50088,2024-08-25,***.248.762-**,B�sico,20031050.0,"49,90",2024-08,,,,False,Rio de Janeiro,RJ,Centro
TX-50089,2024-01-05,***.448.463-**,Premium,80010010.0,"99,90",2024-01,,,,False,Curitiba,PR,Centro
TX-50090,2024-11-04,***.293.102-**,B�sico,20031050.0,"49,90",2024-11,,,,False,Rio de Janeiro,RJ,Centro
TX-50091,2024-03-23,***.647.725-**,Premium,50010000.0,"99,90",2024-03,4.0,,13.8,False,Recife,PE,Santo Antônio
TX-50092,2024-02-23,***.696.663-**,Premium,1001000.0,"99,90",2024-02,2.0,7.0,17.9,False,,,
TX-50093,2024-05-11,***.973.561-**,Premium,20031050.0,"99,90",2024-05,5.0,7.0,87.0,False,Rio de Janeiro,RJ,Centro
TX-50094,2024-03-26,***.832.753-**,Premium,70040010.0,"99,90",2024-03,0.0,1.0,98.6,False,Brasília,DF,Asa Norte
TX-50095,2024-12-04,***.899.405-**,,90010150.0,"99,90",2024-12,,,,False,Porto Alegre,RS,Centro Histórico
TX-50096,2024-08-25,***.986.239-**,Premium,69010000.0,"99,90",2024-08,,,,False,Manaus,AM,Centro
TX-50097,2024-01-04,***.391.171-**,Premium,50010000.0,"99,90",2024-01,1.0,4.0,39.1,False,Recife,PE,Santo Antônio
TX-50098,2024-02-19,***.665.344-**,B�sico,30140071.0,"49,90",2024-02,0.0,2.0,13.4,False,Belo Horizonte,MG,Boa Viagem
TX-50099,2024-05-19,***.090.380-**,Anual,90010150.0,"899,00",2024-05,,,,False,Porto Alegre,RS,Centro Histórico
TX-50100,2024-02-22,***.563.620-**,B�sico,69010000.0,"49,90",2024-02,2.0,4.0,93.9,False,Manaus,AM,Centro
TX-50101,2024-08-14,***.698.616-**,Premium,90010150.0,"99,90",2024-08,,,,False,Porto Alegre,RS,Centro Histórico
TX-50102,2024-04-22,***.107.522-**,Anual,4538133.0,"899,00",2024-04,,,,False,,,
TX-50103,2024-10-15,***.699.939-**,Anual,50010000.0,"899,00",2024-10,,,,False,Recife,PE,Santo Antônio
TX-50104,2024-07-05,***.087.156-**,B�sico,69010000.0,"49,90",2024-07,1.0,3.0,53.0,False,Manaus,AM,Centro
TX-50105,2024-05-21,***.583.132-**,Premium,20031050.0,"99,90",2024-05,,,,False,Rio de Janeiro,RJ,Centro
TX-50106,2024-09-16,***.113.529-**,B�sico,60060440.0,"49,90",2024-09,,,,False,Fortaleza,CE,Praia de Iracema
TX-50107,2024-08-09,***.018.915-**,B�sico,,"49,90",2024-08,0.0,6.0,80.1,False,,,
TX-50108,2024-05-13,***.401.965-**,B�sico,20031050.0,"49,90",2024-05,,,,False,Rio de Janeiro,RJ,Centro
TX-50109,2024-09-16,***.732.043-**,B�sico,80010010.0,"49,90",2024-09,,,,False,Curitiba,PR,Centro
TX-50110,2024-05-05,***.238.856-**,B�sico,70040010.0,"49,90",2024-05,,,,False,Brasília,DF,Asa Norte
TX-50111,2024-07-09,***.409.749-**,Anual,1001000.0,"899,00",2024-07,,,,False,,,
TX-50112,2024-09-16,***.827.109-**,Anual,30140071.0,"899,00",2024-09,0.0,1.0,28.5,False,Belo Horizonte,MG,Boa Viagem
TX-50113,2024-05-30,***.668.473-**,B�sico,69010000.0,"49,90",2024-05,,,,True,Manaus,AM,Centro
TX-50114,2024-01-12,***.401.640-**,Premium,30140071.0,"99,90",2024-01,0.0,4.0,111.2,False,Belo Horizonte,MG,Boa Viagem
TX-50115,2024-05-25,***.070.534-**,B�sico,20031050.0,"49,90",2024-05,2.0,1.0,43.1,False,Rio de Janeiro,RJ,Centro
TX-50116,2024-11-20,***.366.280-**,B�sico,1001000.0,"49,90",2024-11,,,,True,,,
TX-50117,2024-01-16,***.089.512-**,Anual,70040010.0,"899,00",2024-01,2.0,6.0,14.6,False,Brasília,DF,Asa Norte
TX-50118,2024-04-29,***.452.577-**,Premium,80010010.0,"99,90",2024-04,0.0,10.0,139.5,False,Curitiba,PR,Centro
TX-50119,2024-03-28,***.775.458-**,Premium,60060440.0,"99,90",2024-03,4.0,4.0,40.4,False,Fortaleza,CE,Praia de Iracema
TX-50120,2024-07-05,***.767.348-**,B�sico,50010000.0,"49,90",2024-07,3.0,6.0,62.9,False,Recife,PE,Santo Antônio
TX-50121,2024-03-03,***.080.869-**,Anual,90010150.0,"899,00",2024-03,0.0,,99.3,False,Porto Alegre,RS,Centro Histórico
TX-50122,2024-01-31,***.503.698-**,Premium,90010150.0,"99,90",2024-01,0.0,2.0,110.9,False,Porto Alegre,RS,Centro Histórico
TX-50123,2024-01-25,***.064.454-**,B�sico,69010000.0,"49,90",2024-01,0.0,10.0,2.1,False,Manaus,AM,Centro
TX-50124,2024-03-03,***.630.112-**,B�sico,70040010.0,"49,90",2024-03,4.0,5.0,55.4,False,Brasília,DF,Asa Norte
TX-50125,2024-09-17,***.903.067-**,,69010000.0,"49,90",2024-09,,,,False,Manaus,AM,Centro
TX-50126,2024-09-27,***.643.690-**,B�sico,30140071.0,"49,90",2024-09,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50127,2024-10-22,***.981.898-**,Premium,30140071.0,"99,90",2024-10,2.0,10.0,117.5,False,Belo Horizonte,MG,Boa Viagem
TX-50128,2024-01-31,***.213.109-**,B�sico,50010000.0,"49,90",2024-01,,,,False,Recife,PE,Santo Antônio
TX-50129,2024-12-26,***.808.760-**,B�sico,50010000.0,"49,90",2024-12,,,,False,Recife,PE,Santo Antônio
TX-50130,2024-03-24,***.485.805-**,B�sico,30140071.0,"49,90",2024-03,2.0,4.0,79.7,False,Belo Horizonte,MG,Boa Viagem
TX-50131,2024-05-09,***.179.340-**,B�sico,30140071.0,"49,90",2024-05,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50132,2024-01-21,***.874.951-**,B�sico,69010000.0,"49,90",2024-01,0.0,8.0,49.8,False,Manaus,AM,Centro
TX-50133,2024-02-06,***.307.482-**,B�sico,80010010.0,"49,90",2024-02,1.0,3.0,4.5,False,Curitiba,PR,Centro
TX-50134,2024-07-29,***.698.152-**,Premium,30140071.0,"99,90",2024-07,4.0,1.0,32.7,False,Belo Horizonte,MG,Boa Viagem
TX-50135,2024-11-12,***.095.385-**,B�sico,1001000.0,"49,90",2024-11,,,,False,,,
TX-50136,2024-12-20,***.851.385-**,Premium,60060440.0,"99,90",2024-12,,,,False,Fortaleza,CE,Praia de Iracema
TX-50137,2024-02-06,***.033.620-**,Anual,69010000.0,"899,00",2024-02,1.0,,41.0,False,Manaus,AM,Centro
TX-50138,2024-03-24,***.546.951-**,B�sico,80010010.0,"49,90",2024-03,4.0,4.0,7.8,False,Curitiba,PR,Centro
TX-50139,2024-07-06,***.963.259-**,B�sico,4538133.0,"49,90",2024-07,,,,False,,,
TX-50140,2024-05-28,***.933.324-**,B�sico,4538133.0,"49,90",2024-05,1.0,10.0,110.5,False,,,
TX-50141,2024-09-23,***.167.433-**,B�sico,4538133.0,"49,90",2024-09,,,,False,,,
TX-50142,2024-01-03,***.062.113-**,Premium,50010000.0,"99,90",2024-01,2.0,8.0,40.0,False,Recife,PE,Santo Antônio
TX-50143,2024-10-01,***.873.280-**,Premium,30140071.0,"99,90",2024-10,1.0,5.0,79.3,False,Belo Horizonte,MG,Boa Viagem
TX-50144,2024-02-29,***.932.064-**,Premium,60060440.0,"99,90",2024-02,1.0,10.0,49.4,False,Fortaleza,CE,Praia de Iracema
TX-50145,2024-06-10,***.972.652-**,Anual,69010000.0,"899,00",2024-06,4.0,9.0,0.6000000000000001,False,Manaus,AM,Centro
TX-50146,2024-06-23,***.854.249-**,B�sico,50010000.0,"49,90",2024-06,5.0,9.0,95.8,False,Recife,PE,Santo Antônio
TX-50147,2024-04-24,***.147.732-**,Premium,20031050.0,"99,90",2024-04,0.0,9.0,,False,Rio de Janeiro,RJ,Centro
TX-50148,2024-12-10,***.862.639-**,Premium,90010150.0,"99,90",2024-12,,,,False,Porto Alegre,RS,Centro Histórico
TX-50149,2024-08-13,***.108.902-**,B�sico,90010150.0,"49,90",2024-08,2.0,,,False,Porto Alegre,RS,Centro Histórico
TX-50150,2024-04-06,***.849.079-**,Premium,30140071.0,"99,90",2024-04,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50151,2024-05-24,***.579.889-**,Anual,50010000.0,"899,00",2024-05,4.0,,121.4,False,Recife,PE,Santo Antônio
TX-50152,2024-11-18,***.088.398-**,B�sico,,"49,90",2024-11,,,,False,,,
TX-50153,2024-11-28,***.503.058-**,Premium,,"99,90",2024-11,,,,False,,,
TX-50154,2024-08-04,***.217.048-**,B�sico,60060440.0,"49,90",2024-08,1.0,,44.9,False,Fortaleza,CE,Praia de Iracema
TX-50155,2024-01-09,***.469.208-**,B�sico,1001000.0,"49,90",2024-01,4.0,8.0,20.1,False,,,
TX-50156,2024-12-29,***.721.753-**,B�sico,30140071.0,"49,90",2024-12,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50157,2024-01-14,***.205.397-**,B�sico,60060440.0,"49,90",2024-01,4.0,6.0,103.6,False,Fortaleza,CE,Praia de Iracema
TX-50158,2024-03-16,***.215.406-**,Premium,80010010.0,"99,90",2024-03,1.0,5.0,114.9,False,Curitiba,PR,Centro
TX-50159,2024-04-10,***.089.324-**,Premium,4538133.0,"99,90",2024-04,5.0,3.0,129.1,False,,,
TX-50160,2024-01-07,***.045.735-**,B�sico,60060440.0,"49,90",2024-01,1.0,4.0,,False,Fortaleza,CE,Praia de Iracema
TX-50161,2024-04-22,***.281.237-**,Premium,4538133.0,"99,90",2024-04,,,,False,,,
TX-50162,2024-11-15,***.961.367-**,Premium,30140071.0,"99,90",2024-11,4.0,7.0,115.7,True,Belo Horizonte,MG,Boa Viagem
TX-50163,2024-05-02,***.257.872-**,B�sico,60060440.0,"49,90",2024-05,,,,False,Fortaleza,CE,Praia de Iracema
TX-50164,2024-07-02,***.196.425-**,B�sico,50010000.0,"49,90",2024-07,4.0,,100.6,False,Recife,PE,Santo Antônio
TX-50165,2024-08-12,***.053.285-**,Premium,30140071.0,"99,90",2024-08,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50166,2024-03-04,***.973.642-**,B�sico,60060440.0,"49,90",2024-03,,,,False,Fortaleza,CE,Praia de Iracema
TX-50167,2024-02-25,***.609.626-**,B�sico,,"49,90",2024-02,2.0,9.0,44.2,False,,,
TX-50168,2024-12-12,***.671.307-**,Premium,90010150.0,"99,90",2024-12,,,,False,Porto Alegre,RS,Centro Histórico
TX-50169,2024-06-21,***.953.111-**,Anual,50010000.0,"899,00",2024-06,3.0,9.0,124.6,False,Recife,PE,Santo Antônio
TX-50170,2024-12-12,***.603.358-**,B�sico,,"49,90",2024-12,,,,False,,,
TX-50171,2024-08-05,***.276.365-**,Premium,70040010.0,"99,90",2024-08,,,,False,Brasília,DF,Asa Norte
TX-50172,2024-08-14,***.932.896-**,Anual,90010150.0,"899,00",2024-08,5.0,4.0,55.3,False,Porto Alegre,RS,Centro Histórico
TX-50173,2024-12-10,***.202.599-**,B�sico,30140071.0,"49,90",2024-12,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50174,2024-10-12,***.952.175-**,Premium,69010000.0,"99,90",2024-10,,,,True,Manaus,AM,Centro
TX-50175,2024-10-14,***.879.968-**,,60060440.0,"899,00",2024-10,,,,False,Fortaleza,CE,Praia de Iracema
TX-50176,2024-02-23,***.359.893-**,B�sico,70040010.0,"49,90",2024-02,3.0,2.0,116.0,False,Brasília,DF,Asa Norte
TX-50177,2024-12-22,***.971.895-**,B�sico,50010000.0,"49,90",2024-12,,,,False,Recife,PE,Santo Antônio
TX-50178,2024-08-03,***.647.046-**,Premium,1001000.0,"99,90",2024-08,4.0,,17.4,False,,,
TX-50179,2024-04-06,***.651.189-**,B�sico,30140071.0,"49,90",2024-04,0.0,4.0,23.5,False,Belo Horizonte,MG,Boa Viagem
TX-50180,2024-07-09,***.899.217-**,B�sico,30140071.0,"49,90",2024-07,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50181,2024-01-27,***.410.389-**,B�sico,69010000.0,"49,90",2024-01,1.0,5.0,76.3,False,Manaus,AM,Centro
TX-50182,2024-11-04,***.722.113-**,Premium,4538133.0,"99,90",2024-11,,,,False,,,
TX-50183,2024-10-25,***.526.547-**,Premium,,"99,90",2024-10,,,,False,,,
TX-50184,2024-08-27,***.220.429-**,B�sico,20031050.0,"49,90",2024-08,,,,False,Rio de Janeiro,RJ,Centro
TX-50185,2024-01-12,***.102.786-**,Premium,70040010.0,"99,90",2024-01,3.0,5.0,61.7,False,Brasília,DF,Asa Norte
TX-50186,2024-11-10,***.653.469-**,B�sico,20031050.0,"49,90",2024-11,,,,False,Rio de Janeiro,RJ,Centro
TX-50187,2024-08-25,***.513.422-**,Anual,1001000.0,"899,00",2024-08,,,,False,,,
TX-50188,2024-10-15,***.808.190-**,B�sico,60060440.0,"49,90",2024-10,,,,False,Fortaleza,CE,Praia de Iracema
TX-50189,2024-10-03,***.486.983-**,Premium,30140071.0,"99,90",2024-10,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50190,2024-01-19,***.733.745-**,B�sico,20031050.0,"49,90",2024-01,5.0,,54.7,False,Rio de Janeiro,RJ,Centro
TX-50191,2024-07-21,***.140.868-**,B�sico,50010000.0,"49,90",2024-07,3.0,5.0,105.9,False,Recife,PE,Santo Antônio
TX-50192,2024-03-04,***.232.737-**,Premium,20031050.0,"99,90",2024-03,1.0,3.0,67.2,False,Rio de Janeiro,RJ,Centro
TX-50193,2024-10-03,***.982.718-**,Premium,20031050.0,"99,90",2024-10,2.0,3.0,88.1,False,Rio de Janeiro,RJ,Centro
TX-50194,2024-01-31,***.820.048-**,Anual,60060440.0,"899,00",2024-01,2.0,6.0,110.6,False,Fortaleza,CE,Praia de Iracema
TX-50195,2024-03-12,***.184.919-**,Premium,80010010.0,"99,90",2024-03,,,,False,Curitiba,PR,Centro
TX-50196,2024-10-12,***.424.154-**,B�sico,50010000.0,"49,90",2024-10,,,,True,Recife,PE,Santo Antônio
TX-50197,2024-03-23,***.613.273-**,Premium,60060440.0,"99,90",2024-03,0.0,1.0,145.5,False,Fortaleza,CE,Praia de Iracema
TX-50198,2024-01-08,***.244.063-**,Premium,20031050.0,"99,90",2024-01,4.0,9.0,121.8,False,Rio de Janeiro,RJ,Centro
TX-50199,2024-06-02,***.874.034-**,Premium,20031050.0,"99,90",2024-06,5.0,6.0,55.5,False,Rio de Janeiro,RJ,Centro
TX-50200,2024-02-23,***.577.719-**,Anual,70040010.0,"899,00",2024-02,1.0,5.0,19.4,False,Brasília,DF,Asa Norte
TX-50201,2024-02-10,***.893.195-**,B�sico,69010000.0,"49,90",2024-02,0.0,7.0,8.0,False,Manaus,AM,Centro
TX-50202,2024-05-26,***.866.133-**,B�sico,30140071.0,"49,90",2024-05,0.0,8.0,,False,Belo Horizonte,MG,Boa Viagem
TX-50203,2024-02-01,***.518.161-**,Anual,80010010.0,"899,00",2024-02,,,,False,Curitiba,PR,Centro
TX-50204,2024-08-04,***.024.373-**,Anual,1001000.0,"899,00",2024-08,0.0,,68.8,False,,,
TX-50205,2024-11-24,***.973.239-**,B�sico,4538133.0,"49,90",2024-11,,,,False,,,
TX-50206,2024-01-21,***.114.003-**,B�sico,90010150.0,"49,90",2024-01,3.0,2.0,49.0,False,Porto Alegre,RS,Centro Histórico
TX-50207,2024-06-14,***.018.644-**,B�sico,69010000.0,"49,90",2024-06,4.0,8.0,30.8,False,Manaus,AM,Centro
TX-50208,2024-11-30,***.614.378-**,B�sico,1001000.0,"49,90",2024-11,,,,False,,,
TX-50209,2024-02-19,***.174.304-**,Premium,1001000.0,"99,90",2024-02,0.0,7.0,112.0,False,,,
TX-50210,2024-09-04,***.202.758-**,Premium,1001000.0,"99,90",2024-09,,,,False,,,
TX-50211,2024-04-22,***.715.869-**,B�sico,30140071.0,"49,90",2024-04,,,,False,Belo Horizonte,MG,Boa Viagem
TX-50212,2024-06-29,***.257.828-**,Premium,50010000.0,"99,90",2024-06,3.0,8.0,64.2,False,Recife,PE,Santo Antônio
TX-50213,2024-11-29,***.979.215-**,Premium,70040010.0,"99,90",2024-11,,,,False,Brasília,DF,Asa Norte
